Id,Thesis,StudyProgram,KBK
33,Analisis k-means clustering untuk ekstraksi stopword list bahasa jawa / Hidayah Kariima Fithri,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
34,Implementasi algoritma K-Means clustering pada rekam medis penyakit liver / Mohammad Zamroni Farid,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
35,Klasifikasi berita pada media online menggunakan pembobotan kata berbasis term frequency / Bagaskara Khatulistiwa,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
36,Penerapan metode cosine similarity dengan pengurangan konten judul dan abstrak berbasis frequency untuk klasifikasi artikel jurnal / Piska Dwi Nurfadila,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
37,Naive bayes untuk klasifikasi tembang macapat dengan konsep guru gatra, guru lagu, dan guru wilangan / Yana Ningtyas,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
38,Perbandingan kinerja metode naive Bayes dan K-Nearest Neighbor dalam pengklasifikasian artikel jurnal berbahasa Indonesia / Riri Nada Devita,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
39,Penerapan algoritma Support Vector Machine (SVM) untuk memprediksi tingkat kunjungan wisatawan asing / Indra Gunawan,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
40,Perbandingan kernel support vector machine (SVM) untuk klasifikasi emosi pada Cerita Rakyat Indonesia / Elok Cahyaning Asih,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
41,Klasifikasi lirik lagu daerah menggunakan metode support vector machine dengan berbagai kernel / Fabyan Raif Erlangga,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
42,Klasifikasi pamor keris dengan metode Convolutional Neural Network (CNN) / Moch Rafli Muharom R,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
43,Klasifikasi situs web dengan menggunakan metode K-Nearest Neighbor untuk mendeteksi phishing / M. Annurus Shobah,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
44,Penerapan algoritma FP-Growth dalam penentuan pola pembelian konsumen pada kain tenun Medali Mas / Icca Astrina,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
