No,Judul,Tahun
182,Pengembangan media pembelajaran berbasis android untuk meningkatkan minat belajar pemasangan dan konfigurasi perangkat jaringan pada siswa TKJ tingkat SMK,2024
183,Pengembangan media pembelajaran berbasis mobile learning untuk menumbuhkan minat belajar informatika bermuatan discovery learning bagi siswa SMK,2024
184,Game edukasi berbasis android dengan model problem based learning pada mata pelajaran pemrograman dasar untuk meningkatkan motivasi belajar siswa kelas X di SMK,2024
185,Penggunaan Scratch untuk melatih kemampuan berpikir algoritmik pada materi algoritma dan pemrograman di SMK Diponegoro Tumpang,2024
186,Pengembangan media pembelajaran berbasis Google Site dengan pendekatan problem based learning untuk meningkatkan minat belajar komunikasi data dan jaringan komputer,2024
187,Perbedaan motivasi dan hasil belajar pemrograman dasar menggunakan model problem posing berbantuan media interaktif dibandingkan dengan model means ends analysis berbantuan media interaktif pada siswa kelas X TKJ di SMK Negeri 1 Bandung,2024
188,Perbedaan motivasi belajar siswa SMK menggunakan model PJBL dengan model PJBL berbantuan metode reward and punishment pada mata pelajaran informatika,2024
189,Hubungan self awareness dan social environment terhadap kesiapan menjadi profesional di bidang TI bagi mahasiswa S1 Pendidikan Teknik Informatika Universitas Negeri Malang,2024
190,Penerapan model pembelajaran kooperatif tipe student teams achievement divisions dan problem based learning terhadap hasil belajar siswa pada mata pelajaran teknik komputer dan jaringan kelas XI TKJ di SMKN 11 Malang,2024
191,Bahan ajar e-modul mata pelajaran animasi 2D dan 3D berbasis android untuk mendeskripsikan minat belajar siswa SMK kompetensi keahlian multimedia,2024
192,Efektivitas penerapan model pembelajaran kooperatif tipe group investigation (GI) terhadap hasil belajar siswa pada mata pelajaran informatika kelas X DKV di SMKN 10 Malang,2024
193,Media pembelajaran gamifikasi berbasis website untuk mengetahui tingkat kemandirian belajar siswa rekayasa perangkat lunak pada persiapan ujian kompetensi keahlian,2024
194,Pengembangan media pembelajaran berbasis flip book dengan model problem based learning untuk mengetahui tingkat minat belajar mahasiswa pada mata kuliah perancangan UX di Universitas Negeri Malang,2024
195,Pengembangan kamus elektronik berbasis adaptive learning sebagai penunjang mata kuliah komputasi cerdas bagi mahasiswa pendidikan teknik informatika Universitas Negeri Malang,2024
196,Pengembangan media pembelajaran desain komunikasi visual berbasis TikTok dengan pendekatan konstruktivisme untuk meningkatkan motivasi belajar siswa SMK,2024
197,Pengaruh self awareness dan dukungan orang tua terhadap keberhasilan belajar siswa kelas X jurusan rekayasa perangkat lunak SMK PGRI 3 Malang,2024
198,Hubungan self-regulation dan kompetensi mata kuliah profesi kependidikan terhadap kesiapan mengajar mahasiswa prodi pendidikan teknik informatika,2024
199,Pengaruh kemampuan TPACK dan adaptability skills dengan kesiapan kerja menjadi guru kejuruan pada mahasiswa program studi S1 Pendidikan Teknik Informatika,2024
200,Pengembangan media pembelajaran berbasis TikTok pada mata pelajaran teknik komputer dan jaringan untuk meningkatkan motivasi belajar siswa kelas XI SMK TJKT,2024
201,Pengembangan media pembelajaran interaktif berbasis android bermuatan problem based learning untuk meningkatkan motivasi belajar informatika peserta didik di SMK,2024
202,Pengembangan e-modul untuk meningkatkan hasil belajar mata pelajaran informatika bagi siswa program keahlian desain komunikasi visual kelas X SMK,2024
203,Pengaruh flipped classroom dengan memanfaatkan learning management system terhadap motivasi belajar siswa SMK Negeri Labuang,2024
204,Penerapan e-learning untuk meningkatkan hasil belajar siswa kelas XI TKJ SMKN 1 Lumajang,2024
205,Model pembelajaran kooperatif tipe think-pair-share (TPS) menggunakan aplikasi simulator Cisco Packet Tracer untuk meningkatkan aktivitas dan hasil belajar siswa pada mata pelajaran dasar-dasar TJKT kelas X TJKT SMKN 5 Malang,2024
206,Pengaruh keaktifan mahasiswa dalam organisasi terhadap prestasi belajar dan kemampuan komunikasi interpersonal mahasiswa S1 PTI Universitas Negeri Malang 2020,2024
207,Pengaruh video pembimbingan interaktif di Reels Instagram terhadap pemahaman akademis muda pada materi remote server kelas XI di SMK Muhammadiyah 8 Pakis,2024
208,Pengembangan e-achievement sebagai pemetaan prestasi siswa di SMK,2024
209,Pengembangan game edukasi berbasis problem based learning pada mata pelajaran informatika untuk meningkatkan motivasi belajar siswa SMK,2024
210,Pengembangan modul komunikasi data dan jaringan komputer berbasis project based learning (PJBL) untuk meningkatkan pemahaman sertifikasi MTCNA mahasiswa Pendidikan Teknik Informatika Universitas Negeri Malang,2024
211,Pengaruh kepribadian siswa terhadap kemampuan kolaborasi dan kreativitas siswa dalam model pembelajaran project based learning siswa kelas XI PPLG SMKN 12 Malang,2024
212,Penerapan model pembelajaran project based learning berbantuan media audio visual untuk meningkatkan kreativitas dan hasil belajar siswa pada pembelajaran fotografi kelas X DKV 1 SMK Negeri 1 Dompu,2024
213,Pengaruh minat kerja dan praktik industri terhadap kesiapan kerja mahasiswa program studi pendidikan teknik informatika Universitas Negeri Malang,2024
214,Implementasi strategi pembelajaran berdiferensiasi pada mata pelajaran kejuruan desain komunikasi visual untuk meningkatkan hasil belajar siswa kelas XI DKV SMK PGRI 5 Jember,2024
215,Pengaruh sarana prasarana laboratorium dan efikasi diri terhadap motivasi belajar siswa kelas X TJKT SMKN 12 Malang pada mata pelajaran dasar-dasar TJKT,2024
216,Pengembangan sistem informasi kesiswaan menggunakan metode simple multi attribute rating technique (SMART) untuk menentukan penanganan pelanggaran siswa di tingkat SMK,2024
217,Pengembangan media pembelajaran berbasis web dengan fitur Cornell Note untuk mata kuliah sistem informasi untuk mahasiswa PTI UM,2024
218,Pengembangan media pembelajaran mata pelajaran peminatan pemrograman berbasis website menggunakan project based learning pada siswa kelas XI di SMK Muhammadiyah 8 Pakis,2024
219,Pengembangan web-based learning dengan game edukasi pada mata pelajaran dasar-dasar jaringan komputer dan telekomunikasi untuk siswa TJKT tingkat SMK,2024
220,Efektivitas model pembelajaran problem based learning secara self directed dengan problem based learning tutorial untuk meningkatkan hasil belajar siswa kelas X mapel dasar deskomvis di SMKN 5 Malang,2024
221,Development of gamification-based web programming educational website with peer review to increase student learning motivation,2024
222,Pengaruh sistem moving class dan kesiapan belajar terhadap kemandirian belajar siswa kelas X TKJ di SMK Nasional Malang,2024
223,Implementasi metode pembelajaran peer teaching untuk meningkatkan hasil belajar siswa pada mata pelajaran dasar-dasar jaringan di SMKN 3 Malang,2024
224,Pengembangan e-modul dengan media Instagram untuk mengukur motivasi belajar siswa pada mata pelajaran perakitan komputer di SMK,2024
225,Pengembangan e-modul berbasis self-directed learning menggunakan flipbook digital pada mata pelajaran dasar-dasar desain komunikasi visual untuk peserta didik SMK jurusan DKV di Kota Malang,2024
226,Pengembangan e-modul interaktif dengan pendekatan discovery learning untuk meningkatkan motivasi belajar informatika bagi siswa SMK,2024
227,Pengembangan sistem pendukung keputusan rekomendasi calon ketua HMJ menggunakan metode simple additive weighting (SAW),2024
228,Pengaruh kepribadian siswa dan kemampuan problem solving terhadap kemampuan adaptasi menghadapi dunia kerja untuk siswa kelas XII jurusan TJKT SMKN 5 Malang di era Society 5.0,2024
229,Media pembelajaran interaktif berbasis mobile bermuatan project based learning pada mata kuliah interaksi manusia komputer untuk mengetahui tingkat motivasi belajar mahasiswa,2024
230,Pengembangan media pembelajaran pada mata pelajaran dasar-dasar pengembangan perangkat lunak dan gim berbasis android untuk meningkatkan motivasi belajar siswa SMK kelas X,2024
231,Pengembangan media pembelajaran berbasis responsive web design untuk meningkatkan kemandirian siswa belajar pemrograman web tingkat SMK,2024
232,Pengembangan media pembelajaran berbasis animasi untuk pembelajaran blended-learning pada mata pelajaran dasar-dasar teknik jaringan komputer dan telekomunikasi guna meningkatkan motivasi belajar siswa kelas X SMK,2024
233,Peningkatan keaktifan dan hasil belajar siswa kelas X RPL SMKN 2 Singosari pada mata pelajaran dasar-dasar program keahlian melalui pendekatan open-ended questions,2024
